Color_Preference,Body_Type,Gender,Age_Group,Weather,Occasion,Style_Preference,Budget_Range,Fabric_Preference,Fit_Preference,Intent
Earthy,Plus-size,Non-binary,Senior (51+),Mild/Pleasant,Date Night,Business Casual,Budget (<₹1000),Cotton,Oversized,Get outfit recommendation
Bold/Bright,Apple,Non-binary,Adult (26-35),Humid,Festival,Vintage,Budget (<₹1000),Cotton,Oversized,Fabric suggestion
Pastel,Plus-size,Non-binary,Mid Adult (36-50),Hot & Sunny,Wedding Guest,Classic/Preppy,Mid-range (₹1000-₹5000),Cotton,Tailored,Weather-appropriate outfit
Monochrome,Plus-size,Male,Adult (26-35),Hot & Sunny,Sports/Gym,Minimalist,Budget (<₹1000),No preference,Tailored,Fabric suggestion
Dark,Inverted Triangle,Non-binary,Young Adult (18-25),Mild/Pleasant,Casual Outing,Minimalist,Luxury (₹15000+),No preference,Relaxed,Fabric suggestion
Earthy,Plus-size,Male,Senior (51+),Cold & Windy,Formal Event,Bohemian,Luxury (₹15000+),Synthetic/Polyester,Relaxed,Accessory suggestion
Earthy,Rectangle,Female,Senior (51+),Snowy,Party/Night Out,Sporty,Luxury (₹15000+),Silk/Satin,Regular Fit,Fabric suggestion
Multicolor,Pear,Male,Mid Adult (36-50),Humid,Festival,Sporty,Premium (₹5000-₹15000),Synthetic/Polyester,Relaxed,Weather-appropriate outfit
Pastel,Pear,Non-binary,Adult (26-35),Snowy,Date Night,Streetwear,Mid-range (₹1000-₹5000),Wool/Knit,Relaxed,Accessory suggestion
Dark,Hourglass,Female,Senior (51+),Mild/Pleasant,Job Interview,Glamorous,Premium (₹5000-₹15000),No preference,Tailored,Get outfit recommendation
Earthy,Hourglass,Male,Mid Adult (36-50),Cold & Windy,Casual Outing,Minimalist,Mid-range (₹1000-₹5000),Silk/Satin,Oversized,Occasion-specific look
Dark,Apple,Male,Teen (13-17),Snowy,Wedding Guest,Classic/Preppy,Budget (<₹1000),Silk/Satin,Tailored,Find color match
Earthy,Plus-size,Non-binary,Senior (51+),Cold & Windy,Festival,Glamorous,Mid-range (₹1000-₹5000),Wool/Knit,Regular Fit,Get outfit recommendation
Monochrome,Rectangle,Female,Adult (26-35),Humid,Casual Outing,Minimalist,Premium (₹5000-₹15000),Denim,Relaxed,Fabric suggestion
Multicolor,Pear,Non-binary,Adult (26-35),Humid,Festival,Classic/Preppy,Mid-range (₹1000-₹5000),Silk/Satin,Tailored,Style advice for body type
Dark,Hourglass,Male,Young Adult (18-25),Snowy,Festival,Bohemian,Luxury (₹15000+),Cotton,Tailored,Occasion-specific look
Earthy,Apple,Male,Young Adult (18-25),Humid,Wedding Guest,Minimalist,Premium (₹5000-₹15000),Linen,Oversized,Get outfit recommendation
Pastel,Apple,Non-binary,Teen (13-17),Snowy,Job Interview,Sporty,Luxury (₹15000+),No preference,Relaxed,Accessory suggestion
Neutral,Plus-size,Non-binary,Adult (26-35),Humid,Party/Night Out,Streetwear,Budget (<₹1000),No preference,Relaxed,Style advice for body type
Monochrome,Inverted Triangle,Non-binary,Mid Adult (36-50),Hot & Sunny,Date Night,Classic/Preppy,Mid-range (₹1000-₹5000),Synthetic/Polyester,Regular Fit,Accessory suggestion
Bold/Bright,Apple,Male,Senior (51+),Humid,Beach/Vacation,Minimalist,Budget (<₹1000),Synthetic/Polyester,Regular Fit,Fabric suggestion
Pastel,Petite,Non-binary,Senior (51+),Cold & Windy,Casual Outing,Vintage,Luxury (₹15000+),No preference,Slim Fit,Layering tips
Bold/Bright,Inverted Triangle,Non-binary,Adult (26-35),Hot & Sunny,Festival,Vintage,Luxury (₹15000+),Linen,Slim Fit,Occasion-specific look
Dark,Pear,Female,Senior (51+),Hot & Sunny,Office/Work,Streetwear,Budget (<₹1000),Synthetic/Polyester,Slim Fit,Weather-appropriate outfit
Dark,Petite,Male,Mid Adult (36-50),Hot & Sunny,Party/Night Out,Glamorous,Budget (<₹1000),Synthetic/Polyester,Oversized,Get outfit recommendation
Monochrome,Petite,Female,Teen (13-17),Hot & Sunny,Office/Work,Minimalist,Mid-range (₹1000-₹5000),No preference,Regular Fit,Find color match
Earthy,Plus-size,Male,Adult (26-35),Mild/Pleasant,Sports/Gym,Business Casual,Luxury (₹15000+),Linen,Regular Fit,Get outfit recommendation
Monochrome,Petite,Male,Senior (51+),Hot & Sunny,Job Interview,Bohemian,Budget (<₹1000),Synthetic/Polyester,Slim Fit,Accessory suggestion
Earthy,Hourglass,Female,Adult (26-35),Humid,Office/Work,Sporty,Luxury (₹15000+),Linen,Tailored,Get outfit recommendation
Monochrome,Pear,Non-binary,Young Adult (18-25),Cold & Windy,Sports/Gym,Sporty,Mid-range (₹1000-₹5000),Silk/Satin,Regular Fit,Get outfit recommendation
Earthy,Plus-size,Non-binary,Young Adult (18-25),Hot & Sunny,Casual Outing,Minimalist,Luxury (₹15000+),Wool/Knit,Relaxed,Find color match
Bold/Bright,Pear,Non-binary,Adult (26-35),Cold & Windy,Sports/Gym,Streetwear,Mid-range (₹1000-₹5000),Denim,Oversized,Occasion-specific look
Pastel,Hourglass,Male,Senior (51+),Hot & Sunny,Festival,Business Casual,Budget (<₹1000),Silk/Satin,Slim Fit,Occasion-specific look
Neutral,Pear,Non-binary,Senior (51+),Mild/Pleasant,Date Night,Vintage,Mid-range (₹1000-₹5000),Synthetic/Polyester,Oversized,Find color match
Bold/Bright,Inverted Triangle,Male,Young Adult (18-25),Rainy,Beach/Vacation,Business Casual,Premium (₹5000-₹15000),Wool/Knit,Regular Fit,Style advice for body type
Earthy,Inverted Triangle,Female,Adult (26-35),Mild/Pleasant,Formal Event,Minimalist,Premium (₹5000-₹15000),Denim,Oversized,Layering tips
Bold/Bright,Plus-size,Female,Young Adult (18-25),Snowy,Date Night,Business Casual,Luxury (₹15000+),Linen,Regular Fit,Occasion-specific look
Monochrome,Inverted Triangle,Male,Young Adult (18-25),Snowy,Job Interview,Bohemian,Premium (₹5000-₹15000),No preference,Oversized,Weather-appropriate outfit
Bold/Bright,Petite,Non-binary,Teen (13-17),Snowy,Office/Work,Minimalist,Budget (<₹1000),No preference,Relaxed,Layering tips
Multicolor,Inverted Triangle,Male,Teen (13-17),Humid,Wedding Guest,Business Casual,Mid-range (₹1000-₹5000),Silk/Satin,Tailored,Weather-appropriate outfit
Multicolor,Inverted Triangle,Non-binary,Adult (26-35),Cold & Windy,Beach/Vacation,Bohemian,Luxury (₹15000+),Silk/Satin,Relaxed,Get outfit recommendation
Dark,Pear,Non-binary,Young Adult (18-25),Humid,Formal Event,Business Casual,Mid-range (₹1000-₹5000),Denim,Relaxed,Style advice for body type
Dark,Petite,Female,Adult (26-35),Hot & Sunny,Party/Night Out,Business Casual,Mid-range (₹1000-₹5000),Cotton,Regular Fit,Accessory suggestion
Pastel,Hourglass,Non-binary,Young Adult (18-25),Humid,Date Night,Glamorous,Luxury (₹15000+),Linen,Slim Fit,Get outfit recommendation
Dark,Apple,Male,Senior (51+),Snowy,Wedding Guest,Sporty,Mid-range (₹1000-₹5000),Linen,Tailored,Accessory suggestion
Earthy,Petite,Male,Senior (51+),Rainy,Sports/Gym,Classic/Preppy,Luxury (₹15000+),Silk/Satin,Regular Fit,Fabric suggestion
Multicolor,Rectangle,Non-binary,Teen (13-17),Humid,Formal Event,Business Casual,Mid-range (₹1000-₹5000),Denim,Slim Fit,Occasion-specific look
Pastel,Pear,Male,Young Adult (18-25),Rainy,Job Interview,Bohemian,Mid-range (₹1000-₹5000),Linen,Regular Fit,Find color match
Monochrome,Petite,Female,Mid Adult (36-50),Cold & Windy,Job Interview,Streetwear,Luxury (₹15000+),Cotton,Oversized,Get outfit recommendation
Pastel,Inverted Triangle,Non-binary,Young Adult (18-25),Cold & Windy,Festival,Minimalist,Mid-range (₹1000-₹5000),Cotton,Oversized,Occasion-specific look
Pastel,Inverted Triangle,Female,Senior (51+),Humid,Casual Outing,Sporty,Budget (<₹1000),Denim,Tailored,Fabric suggestion
Multicolor,Rectangle,Male,Young Adult (18-25),Mild/Pleasant,Job Interview,Streetwear,Mid-range (₹1000-₹5000),Wool/Knit,Relaxed,Occasion-specific look
Pastel,Petite,Non-binary,Adult (26-35),Mild/Pleasant,Job Interview,Bohemian,Mid-range (₹1000-₹5000),Linen,Tailored,Style advice for body type
Neutral,Hourglass,Male,Senior (51+),Humid,Sports/Gym,Streetwear,Budget (<₹1000),Denim,Tailored,Get outfit recommendation
Multicolor,Inverted Triangle,Non-binary,Teen (13-17),Hot & Sunny,Beach/Vacation,Streetwear,Budget (<₹1000),No preference,Tailored,Layering tips
Bold/Bright,Plus-size,Male,Senior (51+),Mild/Pleasant,Party/Night Out,Business Casual,Luxury (₹15000+),Silk/Satin,Relaxed,Find color match
Monochrome,Pear,Female,Mid Adult (36-50),Cold & Windy,Office/Work,Sporty,Luxury (₹15000+),Silk/Satin,Oversized,Get outfit recommendation
Dark,Petite,Male,Senior (51+),Humid,Office/Work,Minimalist,Luxury (₹15000+),Synthetic/Polyester,Oversized,Accessory suggestion
Monochrome,Apple,Male,Young Adult (18-25),Mild/Pleasant,Job Interview,Sporty,Premium (₹5000-₹15000),No preference,Relaxed,Layering tips
Earthy,Apple,Non-binary,Adult (26-35),Snowy,Sports/Gym,Classic/Preppy,Luxury (₹15000+),Wool/Knit,Relaxed,Fabric suggestion
Pastel,Apple,Non-binary,Senior (51+),Mild/Pleasant,Wedding Guest,Sporty,Premium (₹5000-₹15000),No preference,Tailored,Style advice for body type
Multicolor,Plus-size,Non-binary,Teen (13-17),Snowy,Party/Night Out,Business Casual,Mid-range (₹1000-₹5000),Cotton,Oversized,Layering tips
Multicolor,Apple,Non-binary,Senior (51+),Snowy,Casual Outing,Streetwear,Luxury (₹15000+),Synthetic/Polyester,Slim Fit,Find color match
Multicolor,Pear,Female,Senior (51+),Mild/Pleasant,Office/Work,Bohemian,Premium (₹5000-₹15000),Denim,Regular Fit,Find color match
Earthy,Hourglass,Non-binary,Mid Adult (36-50),Mild/Pleasant,Job Interview,Sporty,Budget (<₹1000),No preference,Oversized,Fabric suggestion
Monochrome,Hourglass,Male,Senior (51+),Rainy,Party/Night Out,Minimalist,Mid-range (₹1000-₹5000),Wool/Knit,Oversized,Get outfit recommendation
Bold/Bright,Pear,Non-binary,Teen (13-17),Cold & Windy,Office/Work,Sporty,Luxury (₹15000+),Silk/Satin,Tailored,Layering tips
Earthy,Pear,Non-binary,Teen (13-17),Snowy,Office/Work,Bohemian,Premium (₹5000-₹15000),Synthetic/Polyester,Relaxed,Accessory suggestion
Bold/Bright,Plus-size,Female,Young Adult (18-25),Humid,Party/Night Out,Business Casual,Luxury (₹15000+),Wool/Knit,Slim Fit,Occasion-specific look
Pastel,Rectangle,Non-binary,Teen (13-17),Humid,Office/Work,Sporty,Premium (₹5000-₹15000),Cotton,Relaxed,Occasion-specific look
Earthy,Plus-size,Non-binary,Adult (26-35),Snowy,Beach/Vacation,Glamorous,Luxury (₹15000+),No preference,Oversized,Accessory suggestion
Multicolor,Rectangle,Non-binary,Mid Adult (36-50),Humid,Casual Outing,Business Casual,Budget (<₹1000),Silk/Satin,Slim Fit,Layering tips
Dark,Plus-size,Male,Young Adult (18-25),Rainy,Sports/Gym,Vintage,Budget (<₹1000),Synthetic/Polyester,Regular Fit,Weather-appropriate outfit
Bold/Bright,Hourglass,Female,Adult (26-35),Hot & Sunny,Festival,Streetwear,Luxury (₹15000+),Silk/Satin,Regular Fit,Weather-appropriate outfit
Earthy,Apple,Male,Young Adult (18-25),Mild/Pleasant,Party/Night Out,Classic/Preppy,Mid-range (₹1000-₹5000),No preference,Regular Fit,Weather-appropriate outfit
Pastel,Pear,Male,Senior (51+),Rainy,Formal Event,Bohemian,Budget (<₹1000),Cotton,Tailored,Get outfit recommendation
Multicolor,Plus-size,Non-binary,Teen (13-17),Mild/Pleasant,Date Night,Vintage,Luxury (₹15000+),Wool/Knit,Regular Fit,Fabric suggestion
Pastel,Plus-size,Non-binary,Adult (26-35),Mild/Pleasant,Party/Night Out,Streetwear,Budget (<₹1000),Wool/Knit,Tailored,Fabric suggestion
Earthy,Hourglass,Non-binary,Adult (26-35),Mild/Pleasant,Formal Event,Business Casual,Budget (<₹1000),Synthetic/Polyester,Relaxed,Fabric suggestion
Bold/Bright,Petite,Male,Teen (13-17),Snowy,Party/Night Out,Glamorous,Budget (<₹1000),Silk/Satin,Regular Fit,Occasion-specific look
Pastel,Inverted Triangle,Female,Young Adult (18-25),Rainy,Beach/Vacation,Vintage,Premium (₹5000-₹15000),Denim,Tailored,Layering tips
Pastel,Rectangle,Non-binary,Adult (26-35),Rainy,Sports/Gym,Sporty,Luxury (₹15000+),Denim,Relaxed,Style advice for body type
Earthy,Petite,Male,Teen (13-17),Snowy,Wedding Guest,Classic/Preppy,Luxury (₹15000+),No preference,Tailored,Weather-appropriate outfit
Pastel,Plus-size,Non-binary,Young Adult (18-25),Mild/Pleasant,Casual Outing,Streetwear,Luxury (₹15000+),Linen,Oversized,Accessory suggestion
Multicolor,Rectangle,Female,Adult (26-35),Humid,Job Interview,Minimalist,Luxury (₹15000+),Cotton,Oversized,Get outfit recommendation
Pastel,Plus-size,Female,Mid Adult (36-50),Snowy,Office/Work,Business Casual,Premium (₹5000-₹15000),Silk/Satin,Regular Fit,Accessory suggestion
Earthy,Inverted Triangle,Female,Adult (26-35),Hot & Sunny,Sports/Gym,Bohemian,Premium (₹5000-₹15000),No preference,Relaxed,Weather-appropriate outfit
Earthy,Inverted Triangle,Non-binary,Senior (51+),Cold & Windy,Wedding Guest,Vintage,Premium (₹5000-₹15000),Synthetic/Polyester,Relaxed,Fabric suggestion
Multicolor,Petite,Female,Teen (13-17),Mild/Pleasant,Job Interview,Sporty,Luxury (₹15000+),Synthetic/Polyester,Oversized,Style advice for body type
Dark,Plus-size,Female,Mid Adult (36-50),Snowy,Job Interview,Glamorous,Budget (<₹1000),Cotton,Oversized,Accessory suggestion
Pastel,Apple,Female,Adult (26-35),Snowy,Wedding Guest,Glamorous,Premium (₹5000-₹15000),Linen,Regular Fit,Fabric suggestion
Monochrome,Pear,Male,Teen (13-17),Cold & Windy,Party/Night Out,Sporty,Budget (<₹1000),Denim,Oversized,Layering tips
Neutral,Hourglass,Male,Mid Adult (36-50),Humid,Casual Outing,Minimalist,Luxury (₹15000+),Wool/Knit,Slim Fit,Find color match
Bold/Bright,Inverted Triangle,Male,Teen (13-17),Snowy,Sports/Gym,Sporty,Mid-range (₹1000-₹5000),Denim,Regular Fit,Fabric suggestion
Dark,Pear,Male,Senior (51+),Cold & Windy,Casual Outing,Minimalist,Premium (₹5000-₹15000),No preference,Regular Fit,Fabric suggestion
Monochrome,Plus-size,Non-binary,Adult (26-35),Humid,Beach/Vacation,Streetwear,Mid-range (₹1000-₹5000),Wool/Knit,Relaxed,Fabric suggestion
Dark,Petite,Non-binary,Senior (51+),Mild/Pleasant,Festival,Sporty,Premium (₹5000-₹15000),Linen,Relaxed,Weather-appropriate outfit
Multicolor,Hourglass,Female,Adult (26-35),Rainy,Sports/Gym,Sporty,Mid-range (₹1000-₹5000),Silk/Satin,Slim Fit,Get outfit recommendation
Earthy,Plus-size,Male,Adult (26-35),Rainy,Beach/Vacation,Minimalist,Luxury (₹15000+),No preference,Tailored,Occasion-specific look
Neutral,Plus-size,Female,Adult (26-35),Humid,Party/Night Out,Minimalist,Premium (₹5000-₹15000),Denim,Tailored,Layering tips
Monochrome,Pear,Male,Mid Adult (36-50),Mild/Pleasant,Party/Night Out,Sporty,Budget (<₹1000),Linen,Oversized,Occasion-specific look
Bold/Bright,Petite,Non-binary,Senior (51+),Rainy,Sports/Gym,Classic/Preppy,Budget (<₹1000),Denim,Oversized,Occasion-specific look
Neutral,Petite,Female,Senior (51+),Mild/Pleasant,Wedding Guest,Business Casual,Mid-range (₹1000-₹5000),Silk/Satin,Slim Fit,Style advice for body type
Neutral,Inverted Triangle,Male,Young Adult (18-25),Hot & Sunny,Wedding Guest,Sporty,Mid-range (₹1000-₹5000),Synthetic/Polyester,Tailored,Get outfit recommendation
Pastel,Hourglass,Male,Teen (13-17),Mild/Pleasant,Party/Night Out,Vintage,Luxury (₹15000+),Silk/Satin,Tailored,Accessory suggestion
Monochrome,Petite,Male,Adult (26-35),Hot & Sunny,Formal Event,Minimalist,Premium (₹5000-₹15000),No preference,Tailored,Find color match
Earthy,Rectangle,Male,Young Adult (18-25),Rainy,Sports/Gym,Minimalist,Budget (<₹1000),No preference,Oversized,Layering tips
Multicolor,Rectangle,Male,Teen (13-17),Cold & Windy,Beach/Vacation,Bohemian,Mid-range (₹1000-₹5000),Linen,Tailored,Occasion-specific look
Bold/Bright,Pear,Non-binary,Teen (13-17),Snowy,Festival,Bohemian,Premium (₹5000-₹15000),Linen,Regular Fit,Weather-appropriate outfit
Bold/Bright,Hourglass,Non-binary,Young Adult (18-25),Hot & Sunny,Party/Night Out,Glamorous,Premium (₹5000-₹15000),Cotton,Oversized,Occasion-specific look
Earthy,Hourglass,Female,Young Adult (18-25),Hot & Sunny,Casual Outing,Business Casual,Mid-range (₹1000-₹5000),Silk/Satin,Slim Fit,Weather-appropriate outfit
Pastel,Rectangle,Male,Senior (51+),Rainy,Casual Outing,Minimalist,Premium (₹5000-₹15000),Synthetic/Polyester,Oversized,Find color match
Pastel,Rectangle,Male,Adult (26-35),Humid,Date Night,Business Casual,Mid-range (₹1000-₹5000),Cotton,Tailored,Accessory suggestion
Dark,Pear,Female,Teen (13-17),Mild/Pleasant,Beach/Vacation,Sporty,Luxury (₹15000+),Denim,Relaxed,Style advice for body type
Earthy,Apple,Female,Mid Adult (36-50),Rainy,Job Interview,Streetwear,Budget (<₹1000),Wool/Knit,Oversized,Fabric suggestion
Bold/Bright,Plus-size,Female,Senior (51+),Rainy,Beach/Vacation,Minimalist,Luxury (₹15000+),Synthetic/Polyester,Oversized,Get outfit recommendation
Earthy,Plus-size,Female,Senior (51+),Cold & Windy,Date Night,Bohemian,Luxury (₹15000+),Denim,Relaxed,Fabric suggestion
Multicolor,Inverted Triangle,Male,Senior (51+),Rainy,Date Night,Glamorous,Premium (₹5000-₹15000),Cotton,Slim Fit,Find color match
Neutral,Plus-size,Male,Young Adult (18-25),Hot & Sunny,Party/Night Out,Bohemian,Luxury (₹15000+),Denim,Slim Fit,Get outfit recommendation
Earthy,Petite,Female,Mid Adult (36-50),Humid,Job Interview,Sporty,Budget (<₹1000),Silk/Satin,Oversized,Find color match
Neutral,Pear,Non-binary,Mid Adult (36-50),Hot & Sunny,Beach/Vacation,Minimalist,Premium (₹5000-₹15000),Wool/Knit,Tailored,Accessory suggestion
Multicolor,Petite,Male,Senior (51+),Rainy,Festival,Minimalist,Budget (<₹1000),No preference,Regular Fit,Find color match
Pastel,Inverted Triangle,Male,Teen (13-17),Snowy,Party/Night Out,Glamorous,Mid-range (₹1000-₹5000),Denim,Relaxed,Weather-appropriate outfit
Earthy,Petite,Male,Senior (51+),Snowy,Festival,Glamorous,Budget (<₹1000),No preference,Relaxed,Accessory suggestion
Dark,Rectangle,Non-binary,Mid Adult (36-50),Hot & Sunny,Formal Event,Streetwear,Luxury (₹15000+),Wool/Knit,Regular Fit,Style advice for body type
Earthy,Inverted Triangle,Female,Adult (26-35),Rainy,Festival,Vintage,Premium (₹5000-₹15000),Linen,Tailored,Accessory suggestion
Earthy,Pear,Non-binary,Senior (51+),Cold & Windy,Sports/Gym,Sporty,Premium (₹5000-₹15000),Linen,Tailored,Layering tips
Neutral,Petite,Male,Adult (26-35),Humid,Casual Outing,Streetwear,Premium (₹5000-₹15000),Cotton,Regular Fit,Weather-appropriate outfit
Pastel,Plus-size,Female,Teen (13-17),Snowy,Wedding Guest,Streetwear,Budget (<₹1000),Cotton,Tailored,Accessory suggestion
Pastel,Pear,Female,Adult (26-35),Humid,Party/Night Out,Classic/Preppy,Premium (₹5000-₹15000),No preference,Regular Fit,Find color match
Earthy,Rectangle,Non-binary,Young Adult (18-25),Snowy,Office/Work,Vintage,Luxury (₹15000+),Denim,Tailored,Find color match
Earthy,Petite,Female,Teen (13-17),Snowy,Job Interview,Glamorous,Budget (<₹1000),No preference,Slim Fit,Accessory suggestion
Bold/Bright,Plus-size,Female,Mid Adult (36-50),Hot & Sunny,Party/Night Out,Minimalist,Luxury (₹15000+),Cotton,Regular Fit,Get outfit recommendation
Bold/Bright,Inverted Triangle,Non-binary,Young Adult (18-25),Rainy,Festival,Classic/Preppy,Mid-range (₹1000-₹5000),Cotton,Tailored,Fabric suggestion
Multicolor,Inverted Triangle,Non-binary,Senior (51+),Hot & Sunny,Party/Night Out,Glamorous,Premium (₹5000-₹15000),No preference,Tailored,Style advice for body type
Pastel,Apple,Male,Mid Adult (36-50),Humid,Casual Outing,Glamorous,Premium (₹5000-₹15000),Cotton,Tailored,Layering tips
Multicolor,Petite,Male,Young Adult (18-25),Mild/Pleasant,Festival,Classic/Preppy,Luxury (₹15000+),Linen,Relaxed,Weather-appropriate outfit
Earthy,Inverted Triangle,Non-binary,Senior (51+),Cold & Windy,Party/Night Out,Bohemian,Premium (₹5000-₹15000),No preference,Tailored,Accessory suggestion
Dark,Inverted Triangle,Male,Teen (13-17),Snowy,Sports/Gym,Glamorous,Premium (₹5000-₹15000),Silk/Satin,Oversized,Accessory suggestion
Bold/Bright,Inverted Triangle,Non-binary,Teen (13-17),Rainy,Formal Event,Vintage,Luxury (₹15000+),Wool/Knit,Oversized,Fabric suggestion
Neutral,Plus-size,Male,Young Adult (18-25),Snowy,Date Night,Streetwear,Budget (<₹1000),Cotton,Slim Fit,Weather-appropriate outfit
