Color_Preference,Body_Type,Gender,Age_Group,Weather,Occasion,Style_Preference,Budget_Range,Fabric_Preference,Fit_Preference,Intent
Earthy,Pear,Female,Teen (13-17),Rainy,Office/Work,Sporty,Luxury (₹15000+),Linen,Slim Fit,Accessory suggestion
Pastel,Petite,Non-binary,Young Adult (18-25),Cold & Windy,Festival,Sporty,Luxury (₹15000+),Wool/Knit,Oversized,Get outfit recommendation
Monochrome,Inverted Triangle,Non-binary,Senior (51+),Hot & Sunny,Wedding Guest,Streetwear,Budget (<₹1000),Silk/Satin,Oversized,Occasion-specific look
Neutral,Rectangle,Non-binary,Teen (13-17),Hot & Sunny,Sports/Gym,Sporty,Premium (₹5000-₹15000),No preference,Slim Fit,Get outfit recommendation
Bold/Bright,Plus-size,Non-binary,Mid Adult (36-50),Cold & Windy,Sports/Gym,Bohemian,Premium (₹5000-₹15000),Linen,Relaxed,Find color match
Pastel,Pear,Non-binary,Mid Adult (36-50),Humid,Casual Outing,Minimalist,Mid-range (₹1000-₹5000),Wool/Knit,Regular Fit,Accessory suggestion
Monochrome,Rectangle,Non-binary,Young Adult (18-25),Hot & Sunny,Date Night,Vintage,Premium (₹5000-₹15000),Synthetic/Polyester,Regular Fit,Weather-appropriate outfit
Earthy,Apple,Male,Adult (26-35),Mild/Pleasant,Casual Outing,Sporty,Mid-range (₹1000-₹5000),Denim,Regular Fit,Layering tips
Dark,Pear,Male,Mid Adult (36-50),Humid,Job Interview,Classic/Preppy,Luxury (₹15000+),Denim,Relaxed,Style advice for body type
Monochrome,Apple,Non-binary,Adult (26-35),Mild/Pleasant,Festival,Streetwear,Mid-range (₹1000-₹5000),Synthetic/Polyester,Oversized,Weather-appropriate outfit
Multicolor,Pear,Female,Senior (51+),Cold & Windy,Sports/Gym,Streetwear,Mid-range (₹1000-₹5000),Silk/Satin,Slim Fit,Find color match
Pastel,Apple,Male,Teen (13-17),Rainy,Sports/Gym,Glamorous,Premium (₹5000-₹15000),Linen,Regular Fit,Style advice for body type
Multicolor,Pear,Male,Young Adult (18-25),Cold & Windy,Casual Outing,Sporty,Mid-range (₹1000-₹5000),Wool/Knit,Oversized,Weather-appropriate outfit
Dark,Hourglass,Female,Teen (13-17),Snowy,Beach/Vacation,Streetwear,Luxury (₹15000+),Synthetic/Polyester,Regular Fit,Style advice for body type
Multicolor,Rectangle,Female,Mid Adult (36-50),Cold & Windy,Formal Event,Classic/Preppy,Mid-range (₹1000-₹5000),Cotton,Tailored,Get outfit recommendation
Bold/Bright,Rectangle,Male,Young Adult (18-25),Cold & Windy,Office/Work,Streetwear,Luxury (₹15000+),No preference,Relaxed,Fabric suggestion
Dark,Apple,Female,Young Adult (18-25),Mild/Pleasant,Sports/Gym,Minimalist,Luxury (₹15000+),Synthetic/Polyester,Regular Fit,Layering tips
Earthy,Petite,Non-binary,Senior (51+),Humid,Festival,Minimalist,Budget (<₹1000),Linen,Tailored,Get outfit recommendation
Pastel,Inverted Triangle,Non-binary,Mid Adult (36-50),Snowy,Casual Outing,Glamorous,Budget (<₹1000),Denim,Regular Fit,Fabric suggestion
Monochrome,Apple,Female,Mid Adult (36-50),Cold & Windy,Sports/Gym,Sporty,Budget (<₹1000),Synthetic/Polyester,Relaxed,Style advice for body type
Monochrome,Plus-size,Non-binary,Mid Adult (36-50),Hot & Sunny,Festival,Bohemian,Mid-range (₹1000-₹5000),No preference,Relaxed,Style advice for body type
Monochrome,Rectangle,Female,Mid Adult (36-50),Hot & Sunny,Formal Event,Business Casual,Mid-range (₹1000-₹5000),Linen,Slim Fit,Occasion-specific look
Bold/Bright,Petite,Non-binary,Young Adult (18-25),Snowy,Office/Work,Bohemian,Budget (<₹1000),Synthetic/Polyester,Tailored,Accessory suggestion
Neutral,Inverted Triangle,Non-binary,Mid Adult (36-50),Snowy,Festival,Streetwear,Luxury (₹15000+),Wool/Knit,Tailored,Get outfit recommendation
Multicolor,Pear,Female,Senior (51+),Snowy,Formal Event,Streetwear,Mid-range (₹1000-₹5000),Denim,Slim Fit,Layering tips
Bold/Bright,Apple,Non-binary,Mid Adult (36-50),Rainy,Formal Event,Bohemian,Mid-range (₹1000-₹5000),Denim,Slim Fit,Occasion-specific look
Neutral,Rectangle,Female,Mid Adult (36-50),Humid,Casual Outing,Business Casual,Mid-range (₹1000-₹5000),Denim,Relaxed,Fabric suggestion
Monochrome,Rectangle,Female,Teen (13-17),Humid,Job Interview,Minimalist,Mid-range (₹1000-₹5000),Wool/Knit,Regular Fit,Weather-appropriate outfit
Neutral,Pear,Male,Teen (13-17),Snowy,Date Night,Minimalist,Mid-range (₹1000-₹5000),No preference,Slim Fit,Occasion-specific look
Bold/Bright,Hourglass,Male,Teen (13-17),Mild/Pleasant,Formal Event,Streetwear,Premium (₹5000-₹15000),Wool/Knit,Relaxed,Style advice for body type
Monochrome,Petite,Non-binary,Adult (26-35),Hot & Sunny,Office/Work,Sporty,Premium (₹5000-₹15000),Silk/Satin,Tailored,Find color match
Multicolor,Rectangle,Non-binary,Teen (13-17),Rainy,Beach/Vacation,Streetwear,Budget (<₹1000),Synthetic/Polyester,Regular Fit,Accessory suggestion
Earthy,Rectangle,Non-binary,Young Adult (18-25),Snowy,Party/Night Out,Minimalist,Budget (<₹1000),Wool/Knit,Relaxed,Find color match
Monochrome,Petite,Non-binary,Senior (51+),Snowy,Wedding Guest,Glamorous,Premium (₹5000-₹15000),Silk/Satin,Relaxed,Accessory suggestion
Pastel,Inverted Triangle,Non-binary,Mid Adult (36-50),Humid,Beach/Vacation,Business Casual,Mid-range (₹1000-₹5000),Wool/Knit,Oversized,Occasion-specific look
Pastel,Hourglass,Male,Teen (13-17),Mild/Pleasant,Office/Work,Classic/Preppy,Luxury (₹15000+),Linen,Slim Fit,Accessory suggestion
Bold/Bright,Inverted Triangle,Non-binary,Young Adult (18-25),Hot & Sunny,Party/Night Out,Sporty,Premium (₹5000-₹15000),No preference,Slim Fit,Occasion-specific look
Bold/Bright,Inverted Triangle,Non-binary,Adult (26-35),Hot & Sunny,Office/Work,Vintage,Premium (₹5000-₹15000),Linen,Relaxed,Get outfit recommendation
Multicolor,Pear,Male,Adult (26-35),Rainy,Beach/Vacation,Business Casual,Budget (<₹1000),Synthetic/Polyester,Oversized,Fabric suggestion
Pastel,Petite,Female,Senior (51+),Rainy,Beach/Vacation,Glamorous,Budget (<₹1000),No preference,Relaxed,Occasion-specific look
Earthy,Petite,Non-binary,Adult (26-35),Humid,Festival,Minimalist,Mid-range (₹1000-₹5000),Wool/Knit,Regular Fit,Accessory suggestion
Neutral,Pear,Female,Teen (13-17),Rainy,Sports/Gym,Streetwear,Luxury (₹15000+),Denim,Relaxed,Find color match
Multicolor,Plus-size,Female,Adult (26-35),Snowy,Casual Outing,Sporty,Luxury (₹15000+),Cotton,Tailored,Weather-appropriate outfit
Bold/Bright,Rectangle,Female,Young Adult (18-25),Humid,Wedding Guest,Streetwear,Budget (<₹1000),Silk/Satin,Slim Fit,Weather-appropriate outfit
Neutral,Rectangle,Non-binary,Teen (13-17),Mild/Pleasant,Festival,Streetwear,Mid-range (₹1000-₹5000),Silk/Satin,Tailored,Occasion-specific look
Multicolor,Apple,Male,Teen (13-17),Humid,Formal Event,Classic/Preppy,Budget (<₹1000),Linen,Tailored,Find color match
Neutral,Apple,Male,Senior (51+),Hot & Sunny,Date Night,Business Casual,Budget (<₹1000),Cotton,Relaxed,Occasion-specific look
Neutral,Inverted Triangle,Female,Young Adult (18-25),Rainy,Party/Night Out,Classic/Preppy,Premium (₹5000-₹15000),Silk/Satin,Relaxed,Accessory suggestion
Multicolor,Rectangle,Non-binary,Teen (13-17),Rainy,Formal Event,Streetwear,Premium (₹5000-₹15000),Cotton,Slim Fit,Find color match
Pastel,Inverted Triangle,Female,Senior (51+),Rainy,Wedding Guest,Streetwear,Premium (₹5000-₹15000),Wool/Knit,Oversized,Style advice for body type
Neutral,Apple,Non-binary,Adult (26-35),Humid,Beach/Vacation,Minimalist,Mid-range (₹1000-₹5000),Cotton,Tailored,Get outfit recommendation
Neutral,Rectangle,Male,Teen (13-17),Mild/Pleasant,Sports/Gym,Streetwear,Luxury (₹15000+),Wool/Knit,Regular Fit,Occasion-specific look
Bold/Bright,Plus-size,Male,Senior (51+),Hot & Sunny,Beach/Vacation,Streetwear,Budget (<₹1000),No preference,Tailored,Find color match
Monochrome,Apple,Non-binary,Mid Adult (36-50),Mild/Pleasant,Party/Night Out,Classic/Preppy,Mid-range (₹1000-₹5000),No preference,Relaxed,Occasion-specific look
Bold/Bright,Rectangle,Male,Adult (26-35),Rainy,Beach/Vacation,Business Casual,Budget (<₹1000),Cotton,Tailored,Find color match
Bold/Bright,Rectangle,Female,Young Adult (18-25),Rainy,Date Night,Streetwear,Budget (<₹1000),Linen,Slim Fit,Accessory suggestion
Earthy,Petite,Male,Adult (26-35),Humid,Beach/Vacation,Glamorous,Luxury (₹15000+),Denim,Relaxed,Weather-appropriate outfit
Earthy,Pear,Female,Mid Adult (36-50),Hot & Sunny,Date Night,Classic/Preppy,Luxury (₹15000+),No preference,Tailored,Accessory suggestion
Earthy,Petite,Male,Young Adult (18-25),Snowy,Office/Work,Business Casual,Budget (<₹1000),Wool/Knit,Relaxed,Fabric suggestion
Bold/Bright,Inverted Triangle,Male,Mid Adult (36-50),Cold & Windy,Wedding Guest,Glamorous,Budget (<₹1000),Wool/Knit,Slim Fit,Layering tips
Bold/Bright,Rectangle,Non-binary,Teen (13-17),Hot & Sunny,Party/Night Out,Streetwear,Budget (<₹1000),No preference,Oversized,Style advice for body type
Monochrome,Inverted Triangle,Female,Mid Adult (36-50),Humid,Job Interview,Business Casual,Mid-range (₹1000-₹5000),Denim,Regular Fit,Occasion-specific look
Earthy,Plus-size,Non-binary,Adult (26-35),Mild/Pleasant,Date Night,Bohemian,Budget (<₹1000),Wool/Knit,Relaxed,Layering tips
Multicolor,Pear,Female,Teen (13-17),Rainy,Festival,Minimalist,Budget (<₹1000),Synthetic/Polyester,Relaxed,Accessory suggestion
Neutral,Plus-size,Female,Teen (13-17),Cold & Windy,Sports/Gym,Glamorous,Premium (₹5000-₹15000),Synthetic/Polyester,Tailored,Layering tips
Monochrome,Rectangle,Non-binary,Young Adult (18-25),Snowy,Formal Event,Business Casual,Mid-range (₹1000-₹5000),Denim,Relaxed,Layering tips
Multicolor,Apple,Female,Young Adult (18-25),Rainy,Formal Event,Streetwear,Budget (<₹1000),Cotton,Slim Fit,Style advice for body type
Dark,Rectangle,Non-binary,Mid Adult (36-50),Cold & Windy,Office/Work,Streetwear,Luxury (₹15000+),No preference,Tailored,Layering tips
Earthy,Pear,Female,Senior (51+),Mild/Pleasant,Festival,Business Casual,Luxury (₹15000+),Silk/Satin,Oversized,Style advice for body type
Monochrome,Inverted Triangle,Male,Senior (51+),Mild/Pleasant,Party/Night Out,Sporty,Luxury (₹15000+),Wool/Knit,Relaxed,Accessory suggestion
Neutral,Hourglass,Non-binary,Mid Adult (36-50),Snowy,Date Night,Bohemian,Luxury (₹15000+),Synthetic/Polyester,Slim Fit,Style advice for body type
Dark,Petite,Non-binary,Adult (26-35),Mild/Pleasant,Festival,Bohemian,Budget (<₹1000),Denim,Tailored,Find color match
Dark,Petite,Non-binary,Senior (51+),Rainy,Job Interview,Minimalist,Premium (₹5000-₹15000),Wool/Knit,Slim Fit,Fabric suggestion
Monochrome,Inverted Triangle,Female,Senior (51+),Snowy,Date Night,Glamorous,Premium (₹5000-₹15000),No preference,Regular Fit,Occasion-specific look
Pastel,Hourglass,Non-binary,Senior (51+),Snowy,Wedding Guest,Sporty,Budget (<₹1000),Synthetic/Polyester,Tailored,Style advice for body type
Earthy,Hourglass,Non-binary,Adult (26-35),Snowy,Job Interview,Minimalist,Premium (₹5000-₹15000),Linen,Slim Fit,Style advice for body type
Earthy,Hourglass,Female,Adult (26-35),Cold & Windy,Job Interview,Sporty,Premium (₹5000-₹15000),No preference,Regular Fit,Get outfit recommendation
Dark,Hourglass,Non-binary,Young Adult (18-25),Humid,Formal Event,Business Casual,Premium (₹5000-₹15000),No preference,Oversized,Occasion-specific look
Multicolor,Petite,Male,Mid Adult (36-50),Cold & Windy,Festival,Minimalist,Premium (₹5000-₹15000),Cotton,Oversized,Style advice for body type
Multicolor,Rectangle,Female,Mid Adult (36-50),Cold & Windy,Beach/Vacation,Streetwear,Mid-range (₹1000-₹5000),Wool/Knit,Regular Fit,Get outfit recommendation
Dark,Apple,Male,Teen (13-17),Cold & Windy,Beach/Vacation,Glamorous,Luxury (₹15000+),Silk/Satin,Tailored,Weather-appropriate outfit
Monochrome,Petite,Non-binary,Mid Adult (36-50),Mild/Pleasant,Wedding Guest,Streetwear,Luxury (₹15000+),Cotton,Regular Fit,Fabric suggestion
Monochrome,Petite,Female,Senior (51+),Snowy,Casual Outing,Bohemian,Premium (₹5000-₹15000),No preference,Tailored,Occasion-specific look
Bold/Bright,Apple,Female,Teen (13-17),Rainy,Job Interview,Glamorous,Luxury (₹15000+),No preference,Oversized,Weather-appropriate outfit
Earthy,Apple,Non-binary,Young Adult (18-25),Rainy,Festival,Minimalist,Budget (<₹1000),No preference,Slim Fit,Get outfit recommendation
Monochrome,Hourglass,Non-binary,Teen (13-17),Snowy,Beach/Vacation,Vintage,Mid-range (₹1000-₹5000),Synthetic/Polyester,Regular Fit,Occasion-specific look
Pastel,Hourglass,Male,Senior (51+),Hot & Sunny,Casual Outing,Classic/Preppy,Budget (<₹1000),Synthetic/Polyester,Slim Fit,Find color match
Multicolor,Inverted Triangle,Male,Mid Adult (36-50),Snowy,Job Interview,Streetwear,Budget (<₹1000),Synthetic/Polyester,Oversized,Occasion-specific look
Bold/Bright,Rectangle,Non-binary,Teen (13-17),Snowy,Beach/Vacation,Sporty,Luxury (₹15000+),Synthetic/Polyester,Regular Fit,Occasion-specific look
Pastel,Plus-size,Male,Adult (26-35),Hot & Sunny,Sports/Gym,Glamorous,Premium (₹5000-₹15000),Cotton,Regular Fit,Occasion-specific look
Pastel,Rectangle,Male,Mid Adult (36-50),Cold & Windy,Job Interview,Glamorous,Mid-range (₹1000-₹5000),Synthetic/Polyester,Tailored,Find color match
Pastel,Inverted Triangle,Female,Young Adult (18-25),Humid,Office/Work,Business Casual,Premium (₹5000-₹15000),Cotton,Slim Fit,Find color match
Neutral,Inverted Triangle,Non-binary,Adult (26-35),Mild/Pleasant,Casual Outing,Business Casual,Mid-range (₹1000-₹5000),Synthetic/Polyester,Slim Fit,Get outfit recommendation
Dark,Rectangle,Female,Young Adult (18-25),Snowy,Date Night,Glamorous,Budget (<₹1000),Wool/Knit,Tailored,Fabric suggestion
Monochrome,Rectangle,Non-binary,Teen (13-17),Humid,Party/Night Out,Minimalist,Luxury (₹15000+),Synthetic/Polyester,Tailored,Find color match
Earthy,Inverted Triangle,Female,Adult (26-35),Snowy,Wedding Guest,Glamorous,Budget (<₹1000),Synthetic/Polyester,Slim Fit,Accessory suggestion
Earthy,Plus-size,Female,Teen (13-17),Mild/Pleasant,Wedding Guest,Classic/Preppy,Mid-range (₹1000-₹5000),Wool/Knit,Slim Fit,Layering tips
Dark,Pear,Female,Mid Adult (36-50),Hot & Sunny,Date Night,Business Casual,Budget (<₹1000),Synthetic/Polyester,Tailored,Weather-appropriate outfit
Pastel,Hourglass,Male,Teen (13-17),Snowy,Job Interview,Classic/Preppy,Luxury (₹15000+),Linen,Slim Fit,Occasion-specific look
Monochrome,Inverted Triangle,Female,Teen (13-17),Hot & Sunny,Date Night,Minimalist,Premium (₹5000-₹15000),No preference,Slim Fit,Layering tips
Neutral,Pear,Non-binary,Senior (51+),Mild/Pleasant,Festival,Streetwear,Mid-range (₹1000-₹5000),Cotton,Slim Fit,Style advice for body type
Monochrome,Petite,Male,Mid Adult (36-50),Humid,Casual Outing,Classic/Preppy,Mid-range (₹1000-₹5000),Cotton,Oversized,Get outfit recommendation
Bold/Bright,Plus-size,Male,Mid Adult (36-50),Humid,Formal Event,Bohemian,Budget (<₹1000),Cotton,Tailored,Weather-appropriate outfit
Neutral,Plus-size,Male,Mid Adult (36-50),Rainy,Sports/Gym,Vintage,Budget (<₹1000),Synthetic/Polyester,Relaxed,Style advice for body type
Bold/Bright,Plus-size,Male,Teen (13-17),Humid,Formal Event,Vintage,Budget (<₹1000),Cotton,Regular Fit,Style advice for body type
Multicolor,Rectangle,Male,Adult (26-35),Humid,Formal Event,Business Casual,Mid-range (₹1000-₹5000),Wool/Knit,Slim Fit,Style advice for body type
Neutral,Plus-size,Non-binary,Senior (51+),Mild/Pleasant,Formal Event,Minimalist,Luxury (₹15000+),Cotton,Slim Fit,Get outfit recommendation
Pastel,Hourglass,Non-binary,Senior (51+),Rainy,Sports/Gym,Business Casual,Mid-range (₹1000-₹5000),Denim,Oversized,Occasion-specific look
Earthy,Rectangle,Female,Young Adult (18-25),Cold & Windy,Job Interview,Minimalist,Mid-range (₹1000-₹5000),Synthetic/Polyester,Tailored,Find color match
Dark,Plus-size,Female,Adult (26-35),Mild/Pleasant,Casual Outing,Classic/Preppy,Mid-range (₹1000-₹5000),Cotton,Relaxed,Find color match
Earthy,Apple,Non-binary,Senior (51+),Cold & Windy,Beach/Vacation,Classic/Preppy,Premium (₹5000-₹15000),Cotton,Oversized,Find color match
Multicolor,Pear,Non-binary,Mid Adult (36-50),Mild/Pleasant,Formal Event,Streetwear,Budget (<₹1000),Cotton,Regular Fit,Occasion-specific look
Pastel,Rectangle,Female,Adult (26-35),Humid,Beach/Vacation,Minimalist,Budget (<₹1000),Synthetic/Polyester,Slim Fit,Style advice for body type
Pastel,Plus-size,Male,Mid Adult (36-50),Humid,Office/Work,Bohemian,Mid-range (₹1000-₹5000),Synthetic/Polyester,Tailored,Accessory suggestion
Monochrome,Pear,Non-binary,Adult (26-35),Cold & Windy,Office/Work,Vintage,Mid-range (₹1000-₹5000),Cotton,Oversized,Layering tips
Multicolor,Pear,Female,Young Adult (18-25),Hot & Sunny,Beach/Vacation,Business Casual,Budget (<₹1000),Linen,Oversized,Weather-appropriate outfit
Earthy,Rectangle,Male,Mid Adult (36-50),Rainy,Formal Event,Business Casual,Mid-range (₹1000-₹5000),Synthetic/Polyester,Regular Fit,Occasion-specific look
Pastel,Apple,Male,Teen (13-17),Snowy,Job Interview,Minimalist,Premium (₹5000-₹15000),Denim,Slim Fit,Fabric suggestion
Monochrome,Rectangle,Male,Adult (26-35),Cold & Windy,Wedding Guest,Streetwear,Mid-range (₹1000-₹5000),Wool/Knit,Relaxed,Weather-appropriate outfit
Neutral,Rectangle,Non-binary,Mid Adult (36-50),Cold & Windy,Job Interview,Business Casual,Luxury (₹15000+),Silk/Satin,Slim Fit,Layering tips
Dark,Plus-size,Male,Young Adult (18-25),Rainy,Sports/Gym,Classic/Preppy,Mid-range (₹1000-₹5000),Wool/Knit,Slim Fit,Layering tips
Neutral,Hourglass,Female,Senior (51+),Hot & Sunny,Sports/Gym,Glamorous,Luxury (₹15000+),No preference,Slim Fit,Fabric suggestion
Monochrome,Pear,Male,Senior (51+),Hot & Sunny,Sports/Gym,Classic/Preppy,Mid-range (₹1000-₹5000),Silk/Satin,Regular Fit,Weather-appropriate outfit
Dark,Hourglass,Male,Mid Adult (36-50),Snowy,Wedding Guest,Streetwear,Luxury (₹15000+),No preference,Relaxed,Get outfit recommendation
Monochrome,Rectangle,Male,Mid Adult (36-50),Cold & Windy,Date Night,Business Casual,Budget (<₹1000),No preference,Slim Fit,Layering tips
Dark,Apple,Non-binary,Teen (13-17),Rainy,Sports/Gym,Sporty,Mid-range (₹1000-₹5000),No preference,Slim Fit,Accessory suggestion
Dark,Hourglass,Non-binary,Adult (26-35),Hot & Sunny,Office/Work,Glamorous,Premium (₹5000-₹15000),Linen,Relaxed,Get outfit recommendation
Bold/Bright,Apple,Male,Senior (51+),Snowy,Office/Work,Classic/Preppy,Mid-range (₹1000-₹5000),Silk/Satin,Oversized,Find color match
Dark,Rectangle,Non-binary,Senior (51+),Snowy,Party/Night Out,Classic/Preppy,Premium (₹5000-₹15000),Silk/Satin,Regular Fit,Layering tips
Bold/Bright,Hourglass,Male,Adult (26-35),Rainy,Beach/Vacation,Business Casual,Budget (<₹1000),Linen,Relaxed,Occasion-specific look
Monochrome,Inverted Triangle,Female,Teen (13-17),Cold & Windy,Beach/Vacation,Bohemian,Budget (<₹1000),Linen,Oversized,Occasion-specific look
Neutral,Hourglass,Male,Adult (26-35),Hot & Sunny,Formal Event,Business Casual,Mid-range (₹1000-₹5000),No preference,Oversized,Get outfit recommendation
Bold/Bright,Rectangle,Non-binary,Senior (51+),Cold & Windy,Beach/Vacation,Vintage,Luxury (₹15000+),Linen,Slim Fit,Occasion-specific look
Pastel,Hourglass,Male,Young Adult (18-25),Humid,Date Night,Glamorous,Premium (₹5000-₹15000),Synthetic/Polyester,Regular Fit,Fabric suggestion
Earthy,Petite,Non-binary,Senior (51+),Humid,Beach/Vacation,Business Casual,Premium (₹5000-₹15000),Wool/Knit,Oversized,Occasion-specific look
Pastel,Plus-size,Female,Young Adult (18-25),Mild/Pleasant,Date Night,Sporty,Budget (<₹1000),Denim,Regular Fit,Occasion-specific look
Monochrome,Pear,Non-binary,Young Adult (18-25),Snowy,Festival,Sporty,Mid-range (₹1000-₹5000),Denim,Oversized,Style advice for body type
Pastel,Hourglass,Male,Adult (26-35),Humid,Formal Event,Business Casual,Premium (₹5000-₹15000),Silk/Satin,Oversized,Weather-appropriate outfit
Earthy,Petite,Male,Adult (26-35),Rainy,Formal Event,Vintage,Luxury (₹15000+),Wool/Knit,Oversized,Occasion-specific look
Neutral,Hourglass,Female,Mid Adult (36-50),Cold & Windy,Beach/Vacation,Vintage,Mid-range (₹1000-₹5000),Cotton,Relaxed,Accessory suggestion
